Jogador,Time,#,Nação,Pos.,Idade,Min.,Gols,Assis.,PB,PT,TC,CaG,CrtsA,CrtV,Contatos,Div,Crts,Bloqueios,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Conduções,PrgC,Tent,Suc,Data
Eduardo Sasha,Red Bull Bragantino,19,BRA,FW,32-224,61,0,0,0,0,2,1,1,0,30,0,0,1,0.1,0.1,0.0,1,0,8,23,"34,8",1,16,0,0,0,2024-10-05
Ivan Cavaleiro,Red Bull Bragantino,9,POR,FW,30-353,29,0,0,0,0,0,0,1,0,12,0,0,0,0.0,0.0,0.0,2,0,10,11,"90,9",2,10,0,0,0,2024-10-05
Vitinho,Red Bull Bragantino,28,BRA,LM,25-187,90,0,0,0,0,3,1,0,0,40,5,0,1,0.1,0.1,0.1,4,0,14,25,"56,0",4,22,3,4,1,2024-10-05
Lincoln,Red Bull Bragantino,10,BRA,CM,25-333,85,0,0,0,0,2,1,0,0,40,0,1,0,0.1,0.1,0.0,4,0,31,36,"86,1",4,26,0,2,1,2024-10-05
Douglas Mendes,Red Bull Bragantino,39,BRA,CM,20-114,5,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,2,7,"28,6",0,1,0,0,0,2024-10-05
Lucas Evangelista,Red Bull Bragantino,8,BRA,CM,29-152,90,0,0,0,0,2,0,0,0,51,3,0,1,0.1,0.1,0.3,2,0,26,35,"74,3",4,27,0,7,4,2024-10-05
Henry Mosquera,Red Bull Bragantino,30,COL,RM,22-325,89,0,0,0,0,5,1,0,0,36,1,0,0,0.2,0.2,0.1,9,0,18,20,"90,0",1,24,3,9,5,2024-10-05
Arthur,Red Bull Bragantino,27,BRA,RM,21-207,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,"0,0",0,0,0,0,0,2024-10-05
Jadsom,Red Bull Bragantino,5,BRA,DM,23-138,61,0,0,0,0,0,0,1,0,26,1,3,2,0.0,0.0,0.1,2,0,14,18,"77,8",3,13,0,0,0,2024-10-05
Raul,Red Bull Bragantino,23,BRA,DM,28-086,29,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,11,12,"91,7",1,6,0,0,0,2024-10-05
Guilherme,Red Bull Bragantino,31,BRA,LB,22-234,73,0,0,0,0,0,0,0,0,36,1,1,2,0.0,0.0,0.0,1,0,21,28,"75,0",3,21,0,1,0,2024-10-05
Eric Ramires,Red Bull Bragantino,7,BRA,LB,24-056,17,0,0,0,0,1,0,0,0,14,0,0,0,0.2,0.2,0.0,0,0,11,12,"91,7",2,13,1,0,0,2024-10-05
Eduardo Santos,Red Bull Bragantino,3,BRA,CB,26-312,90,0,0,0,0,0,0,0,0,54,1,1,0,0.0,0.0,0.0,0,0,29,41,"70,7",2,32,1,3,2,2024-10-05
Pedro Henrique,Red Bull Bragantino,14,BRA,CB,29-003,90,0,0,0,0,1,1,0,0,42,3,0,2,0.1,0.1,0.0,3,0,24,36,"66,7",2,28,0,0,0,2024-10-05
José Hurtado,Red Bull Bragantino,34,ECU,RB,22-287,90,0,0,0,0,1,0,0,0,60,0,1,0,0.0,0.0,0.0,0,0,38,52,"73,1",4,29,1,1,1,2024-10-05
Cleiton Schwengber,Red Bull Bragantino,1,BRA,GK,27-047,90,0,0,0,0,0,0,1,0,38,0,0,0,0.0,0.0,0.0,0,0,23,36,"63,9",0,21,0,0,0,2024-10-05
José López,Palmeiras,42,ARG,FW,23-304,90,0,0,0,0,2,1,0,0,19,0,0,0,0.4,0.4,0.0,2,0,6,11,"54,5",1,11,1,1,1,2024-10-05
Felipe Anderson,Palmeiras,9,BRA,LW,31-173,77,0,0,0,0,0,0,0,0,47,2,2,1,0.0,0.0,0.0,3,0,32,37,"86,5",3,26,2,1,1,2024-10-05
Dudu,Palmeiras,7,BRA,LW,32-272,13,0,0,0,0,2,1,0,0,12,0,0,0,0.2,0.2,0.0,2,0,6,10,"60,0",0,6,1,0,0,2024-10-05
Raphael Veiga,Palmeiras,23,BRA,RW,29-108,65,0,0,0,0,1,1,0,0,26,0,0,1,0.0,0.0,0.4,2,0,19,24,"79,2",3,20,2,0,0,2024-10-05
Estevão,Palmeiras,41,BRA,RW,18-164,25,0,0,0,0,1,0,0,0,15,0,0,0,0.0,0.0,0.5,4,0,10,10,"100,0",0,14,6,3,0,2024-10-05
Mauricio,Palmeiras,18,BRA,AM,23-136,87,0,0,0,0,2,0,0,0,44,0,0,0,0.1,0.1,0.0,4,0,27,36,"75,0",3,29,0,1,0,2024-10-05
Rony,Palmeiras,10,BRA,AM,29-147,3,0,0,0,0,1,0,0,0,5,0,0,1,0.5,0.5,0.0,0,0,0,3,"0,0",0,3,1,1,1,2024-10-05
Richard Ríos,Palmeiras,27,COL,DM,24-125,77,0,0,0,0,1,0,1,0,47,1,1,2,0.1,0.1,0.0,2,0,30,38,"78,9",2,32,1,2,0,2024-10-05
Gabriel Menino,Palmeiras,25,BRA,DM,24-006,12,0,0,0,0,1,0,1,1,10,0,0,0,0.0,0.0,0.1,2,0,6,9,"66,7",2,7,0,0,0,2024-10-05
Aníbal Moreno,Palmeiras,5,ARG,DM,25-145,90,0,0,0,0,1,1,0,0,64,2,1,1,0.0,0.0,0.0,2,0,44,53,"83,0",4,35,0,0,0,2024-10-05
Caio Paulista,Palmeiras,16,BRA,LB,26-147,87,0,0,0,0,0,0,0,0,61,0,1,2,0.0,0.0,0.0,0,0,44,52,"84,6",6,45,1,3,2,2024-10-05
Vanderlan,Palmeiras,6,BRA,LB,22-028,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,"66,7",0,2,0,0,0,2024-10-05
Murilo Cerqueira,Palmeiras,26,BRA,CB,27-192,90,0,0,0,0,1,1,0,0,104,2,1,1,0.0,0.0,0.0,0,0,87,93,"93,5",10,75,5,1,0,2024-10-05
Gustavo Gómez,Palmeiras,15,PAR,CB,31-152,90,0,0,0,0,0,0,0,0,90,3,1,4,0.0,0.0,0.0,0,0,70,76,"92,1",7,55,2,0,0,2024-10-05
Agustín Giay,Palmeiras,4,ARG,RB,20-263,65,0,0,0,0,1,0,1,0,48,3,2,0,0.0,0.0,0.0,0,0,27,38,"71,1",1,27,1,1,0,2024-10-05
Marcos Rocha,Palmeiras,2,BRA,RB,35-299,25,0,0,0,0,0,0,0,0,30,5,1,0,0.0,0.0,0.1,2,0,15,20,"75,0",1,13,0,1,0,2024-10-05
Wéverton,Palmeiras,21,BRA,GK,36-297,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,24,36,"66,7",0,20,0,0,0,2024-10-05
Gonzalo Mastriani,Athletico Paranaense,9,URU,FW,31-160,82,0,0,0,0,7,1,0,0,37,3,0,1,0.5,0.5,0.0,0,0,19,24,"79,2",1,15,2,0,0,2024-10-05
Lucas Di Yorio,Athletico Paranaense,7,ARG,FW,27-318,8,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,2,"100,0",0,4,0,0,0,2024-10-05
Agustín Canobbio,Athletico Paranaense,14,URU,"AM,WB",26-004,90,0,0,0,0,3,0,0,0,57,2,1,1,0.1,0.1,0.5,8,0,34,39,"87,2",5,38,5,9,2,2024-10-05
Bruno Zapelli,Athletico Paranaense,10,ARG,AM,22-141,45,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.1,3,0,19,31,"61,3",3,15,0,2,1,2024-10-05
Nikão,Athletico Paranaense,11,BRA,AM,32-068,45,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,6,0,19,22,"86,4",5,13,1,1,0,2024-10-05
Gabriel,Athletico Paranaense,3,BRA,CM,32-087,62,0,0,0,0,1,0,0,0,45,3,1,2,0.0,0.0,0.0,0,0,30,33,"90,9",4,18,0,0,0,2024-10-05
Bruno Praxedes,Athletico Paranaense,8,BRA,CM,22-240,28,0,0,0,0,1,0,0,0,24,2,1,0,0.0,0.0,0.0,1,0,16,22,"72,7",4,15,2,0,0,2024-10-05
Erick,Athletico Paranaense,26,BRA,CM,26-326,90,0,0,0,0,2,0,0,0,60,1,2,3,0.1,0.1,0.0,2,0,38,45,"84,4",9,26,0,3,2,2024-10-05
Lucas Esquivel,Athletico Paranaense,37,ARG,"WB,CB",22-357,90,0,0,0,0,2,0,0,0,98,3,1,0,0.0,0.0,0.1,8,0,66,86,"76,7",7,49,3,4,2,2024-10-05
Tomás Cuello,Athletico Paranaense,28,ARG,WB,24-214,45,0,0,0,0,0,0,0,0,36,1,2,1,0.0,0.0,0.1,6,0,15,25,"60,0",1,15,2,6,2,2024-10-05
Julimar,Athletico Paranaense,20,BRA,WB,23-254,45,0,0,0,0,3,1,0,0,28,2,0,0,0.5,0.5,0.0,3,0,16,20,"80,0",3,16,3,1,1,2024-10-05
Mateo Gamarra,Athletico Paranaense,15,PAR,CB,23-351,62,0,0,0,0,2,0,0,0,43,1,1,1,0.0,0.0,0.2,1,0,27,35,"77,1",2,23,0,0,0,2024-10-05
João Machado Cruz,Athletico Paranaense,57,BRA,AM,18-146,28,0,0,0,0,1,0,0,0,29,2,0,0,0.0,0.0,0.1,4,0,19,25,"76,0",2,9,0,0,0,2024-10-05
Kaique Rocha,Athletico Paranaense,4,BRA,CB,23-220,90,0,0,0,0,2,1,1,0,54,2,0,0,0.2,0.2,0.0,1,0,41,47,"87,2",5,20,0,1,1,2024-10-05
Mádson,Athletico Paranaense,22,BRA,CB,32-266,90,0,0,0,0,1,0,1,0,43,1,2,0,0.1,0.1,0.0,2,0,29,35,"82,9",6,12,1,0,0,2024-10-05
Mycael,Athletico Paranaense,41,BRA,GK,20-207,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,11,23,"47,8",0,12,0,0,0,2024-10-05
Igor,Botafogo (RJ),99,BRA,FW,23-223,86,1,0,0,0,2,1,0,0,33,0,0,0,0.5,0.5,0.4,5,0,12,19,"63,2",3,19,2,4,0,2024-10-05
Tiquinho Soares,Botafogo (RJ),9,BRA,FW,33-262,4,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,0,3,"0,0",0,4,0,1,0,2024-10-05
Thiago Almada,Botafogo (RJ),23,ARG,"LW,RW",23-162,78,0,0,0,0,1,0,0,0,48,0,1,0,0.1,0.1,0.0,3,0,33,42,"78,6",3,32,5,2,1,2024-10-05
Danilo Barbosa,Botafogo (RJ),5,BRA,DM,28-220,12,0,0,0,0,0,0,1,0,7,0,0,1,0.0,0.0,0.0,0,0,2,3,"66,7",0,1,0,0,0,2024-10-05
Luiz Henrique,Botafogo (RJ),7,BRA,RW,23-277,69,0,0,0,0,2,1,0,0,45,4,0,1,0.4,0.4,0.0,2,0,20,27,"74,1",0,24,5,9,4,2024-10-05
Matheus Martins,Botafogo (RJ),37,BRA,LW,21-081,21,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,1,0,8,9,"88,9",0,5,0,1,1,2024-10-05
Jefferson Savarino,Botafogo (RJ),10,VEN,"AM,RW",27-329,90,0,1,0,0,3,1,0,0,38,0,0,0,0.1,0.1,0.5,4,1,23,32,"71,9",5,22,2,1,1,2024-10-05
Gregore,Botafogo (RJ),26,BRA,DM,30-217,70,0,0,0,0,1,0,1,0,67,1,2,5,0.0,0.0,0.0,1,0,39,50,"78,0",3,24,0,0,0,2024-10-05
Allan,Botafogo (RJ),28,BRA,DM,33-271,20,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,1,2,"50,0",0,2,0,0,0,2024-10-05
Marlon Freitas,Botafogo (RJ),17,BRA,"DM,AM",29-192,86,0,0,0,0,1,0,0,0,52,3,1,0,0.1,0.1,0.0,3,1,35,43,"81,4",5,21,1,0,0,2024-10-05
Tchê Tchê,Botafogo (RJ),6,BRA,AM,32-036,4,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,"83,3",2,3,0,0,0,2024-10-05
Alex Telles,Botafogo (RJ),13,BRA,LB,31-295,90,0,0,0,0,1,0,0,0,52,2,5,3,0.0,0.0,0.0,1,0,29,37,"78,4",4,19,2,1,0,2024-10-05
